name,lat,lon,instagram_handle,tags,type,time_category,energy_ramp,price,duration,cover,city
Rreal Tacos - Buckhead,33.8473254,-84.3727523,rrealtacos,"{Street,Fiesta,Tasty,Quick,Social}",lunch,Afternoon,4,$$,1.75,,atl
El S�tano,33.7399836,-84.3466965,elsotanoatl,"{Mezcal,Hidden,Eclectic,Lounge,Cozy}",lunch,Midday,4,$$,1.5,,atl
Monks Meadery,33.7700982,-84.3522537,monksmead,"{Meadery,Tasting,Craft,Local,Curious}",bar,Afternoon,3,$$,1.5,,atl
Virtue Rooftop,33.7872526,-84.382934,virtuerooftop,"{Skybar,Sunset,Views,Chill,Party}",rooftop,Evening,4,$$$,2,,atl
JB's Record Lounge,33.7389557,-84.4174261,jbsrecord,"{Vinyl,Vinyl‑Hunt,Classic,Laidback,Music}",random gem,Afternoon,2,$,0.5,,atl
East Atlanta Comics,33.7403971,-84.3454547,east_atlanta_comics,"{Comics,Geek,Collectible,Graphic,Pop}",bookstore,Afternoon,2,$,0.5,,atl
Miracle Bar Atlanta,33.7788521,-84.3671595,miraclebaratlanta,"{Festival,Novelty,Seasonal,Playful,Buzz}",bar,Evening,4,$$,1.5,,atl
Georgia Aquarium,33.763382,-84.3951098,georgiaaquarium,"{Marine,Aquarium,Exhibits,Family,Educational}",museum,Midday,3,$$,3,,atl
Bistro Niko,33.8466464,-84.3688437,bistroniko,"{French,Brunch,Wine,Date‑Night,Elegant}",brunch,Afternoon,3,$$$,2,,atl
Amore e Amore,33.7666896,-84.3528699,eatamoreatl,"{Italian,Theatrical,Bold,Romantic,Unique}",dinner,Evening,3,$$$,2,,atl
The Blind Pig Parlour Bar,33.8424254,-84.3830522,theblindpigparlourbar,"{Speakeasy,Prohibition,Creative,Mixology,Dark}",cocktail,Evening,3,$$,1.75,,atl
Atlanta Botanical Garden,33.7899568,-84.3725988,atlbotanical,"{Gardens,Outdoor,Flowers,Scenic,Serene}",museum,Afternoon,3,$$,3,,atl
Mission + Market,33.8522067,-84.367243,missionandmkt,"{Upscale,Contemporary,Refined,Seasonal,Business}",brunch,Afternoon,3,$$$,2.5,,atl
